Award,Year,Winning,Name,Film
Outstanding Motion Picture,1943,nominated,The Song of Bernadette ,20th Century-Fox
Outstanding Motion Picture,1943,nominated,Watch on the Rhine ,Warner Brothers
Short Subject (Cartoon),1943,nominated,The Dizzy Acrobat ,"Walter Lantz, Producer"
Short Subject (Cartoon),1943,nominated,The 500 Hats of Bartholomew Cubbins ,"George Pal, Producer"
Short Subject (Cartoon),1943,nominated,Greetings Bait! ,"Leon Schlesinger, Producer"
Short Subject (Cartoon),1943,nominated,Imagination ,"Dave Fleischer, Producer"
Short Subject (Cartoon),1943,nominated,Reason and Emotion ,"Walt Disney, Producer"
Short Subject (Cartoon),1943,won,Yankee Doodle Mouse ,"Frederick Quimby, Producer"
Short Subject (One Reel),1943,won,Amphibious Fighters ,"Grantland Rice, Producer"
Short Subject (One Reel),1943,nominated,Cavalcade of Dance with Veloz and Yolanda ,"Gordon Hollingshead, Producer"
Short Subject (One Reel),1943,nominated,Champions Carry On ,"Edmund Reek, Producer"
Short Subject (One Reel),1943,nominated,Hollywood in Uniform ,"Ralph Staub, Producer"
Short Subject (One Reel),1943,nominated,Seeing Hands ,"Pete Smith, Producer"
Short Subject (Two Reel),1943,won,Heavenly Music ,"Jerry Bresler and Sam Coslow, Producers"
Short Subject (Two Reel),1943,nominated,Letter to a Hero ,"Frederic Ullman, Jr., Producer"
Short Subject (Two Reel),1943,nominated,Mardi Gras ,"Walter MacEwen, Producer"
Short Subject (Two Reel),1943,nominated,Women at War ,"Gordon Hollingshead, Producer"
Sound Recording,1943,nominated,Hangmen Also Die ,"Sound Service, Inc., Jack Whitney, Sound Director"
Sound Recording,1943,nominated,In Old Oklahoma ,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director"
Sound Recording,1943,nominated,Madame Curie ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Sound Recording,1943,nominated,The North Star ,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director"
Sound Recording,1943,nominated,Phantom of the Opera ,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
Sound Recording,1943,nominated,Riding High ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
Sound Recording,1943,nominated,Sahara ,"Columbia Studio Sound Department, John Livadary, Sound Director"
Sound Recording,1943,nominated,Saludos Amigos ,"Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director"
Sound Recording,1943,nominated,So This Is Washington ,"RCA Sound, J. L. Fields, Sound Director"
Sound Recording,1943,nominated,The Song of Bernadette ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
Sound Recording,1943,nominated,This Is the Army ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
Sound Recording,1943,won,This Land Is Mine ,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
Special Effects,1943,nominated,Air Force ,"Photographic Effects by Hans Koenekamp, Rex Wimpy; Sound Effects by Nathan Levinson"
Special Effects,1943,nominated,Bombardier ,"Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville"
Special Effects,1943,won,Crash Dive ,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
Special Effects,1943,nominated,The North Star ,"Photographic Effects by Clarence Slifer, R. O. Binger; Sound Effects by Thomas T. Moulton"
Special Effects,1943,nominated,So Proudly We Hail! ,"Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton"
Special Effects,1943,nominated,Stand By for Action ,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus; Sound Effects by Michael Steinore"
Writing (Original Motion Picture Story),1943,nominated,Action in the North Atlantic ,Guy Gilpatric
Writing (Original Motion Picture Story),1943,nominated,Destination Tokyo ,Steve Fisher
Writing (Original Motion Picture Story),1943,won,The Human Comedy ,William Saroyan
Writing (Original Motion Picture Story),1943,nominated,The More the Merrier ,"Robert Russell, Frank Ross"
Writing (Original Motion Picture Story),1943,nominated,Shadow of a Doubt ,Gordon McDonell
Writing (Original Screenplay),1943,nominated,Air Force ,Dudley Nichols
Writing (Original Screenplay),1943,nominated,In Which We Serve ,Noel Coward
Writing (Original Screenplay),1943,nominated,The North Star ,Lillian Hellman
Writing (Original Screenplay),1943,won,Princess O'Rourke ,Norman Krasna
Writing (Original Screenplay),1943,nominated,So Proudly We Hail! ,Allan Scott
Writing (Screenplay),1943,won,Casablanca ,"Julius J. Epstein, Philip G. Epstein, Howard Koch"
Writing (Screenplay),1943,nominated,Holy Matrimony ,Nunnally Johnson
Writing (Screenplay),1943,nominated,The More the Merrier ,"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster"
Writing (Screenplay),1943,nominated,The Song of Bernadette ,George Seaton
Writing (Screenplay),1943,nominated,Watch on the Rhine ,Dashiell Hammett
Special Award,1943,won,George Pal,
Irving G. Thalberg Memorial Award,1943,won,Hal B. Wallis,
Actor,1944,nominated,Charles Boyer,Gaslight
Actor,1944,won,Bing Crosby,Going My Way
Actor,1944,nominated,Barry Fitzgerald,Going My Way
Actor,1944,nominated,Cary Grant,None but the Lonely Heart
Actor,1944,nominated,Alexander Knox,Wilson
Actor in a Supporting Role,1944,nominated,Hume Cronyn,The Seventh Cross
Actor in a Supporting Role,1944,won,Barry Fitzgerald,Going My Way
Actor in a Supporting Role,1944,nominated,Claude Rains,Mr. Skeffington
Actor in a Supporting Role,1944,nominated,Clifton Webb,Laura
Actor in a Supporting Role,1944,nominated,Monty Woolley,Since You Went Away
Actress,1944,won,Ingrid Bergman,Gaslight
Actress,1944,nominated,Claudette Colbert,Since You Went Away
Actress,1944,nominated,Bette Davis,Mr. Skeffington
Actress,1944,nominated,Greer Garson,Mrs. Parkington
Actress,1944,nominated,Barbara Stanwyck,Double Indemnity
Actress in a Supporting Role,1944,won,Ethel Barrymore,None but the Lonely Heart
Actress in a Supporting Role,1944,nominated,Jennifer Jones,Since You Went Away
Actress in a Supporting Role,1944,nominated,Angela Lansbury,Gaslight
Actress in a Supporting Role,1944,nominated,Aline MacMahon,Dragon Seed
Actress in a Supporting Role,1944,nominated,Agnes Moorehead,Mrs. Parkington
Art Direction (Black and White),1944,nominated,Address Unknown ,"Art Direction: Lionel Banks, Walter Holscher; Interior Decoration: Joseph Kish"
Art Direction (Black and White),1944,nominated,The Adventures of Mark Twain ,Art Direction: John J. Hughes; Interior Decoration: Fred MacLean
Art Direction (Black and White),1944,nominated,Casanova Brown ,Art Direction: Perry Ferguson; Interior Decoration: Julia Heron
Art Direction (Black and White),1944,won,Gaslight ,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky"
Art Direction (Black and White),1944,nominated,Laura ,"Art Direction: Lyle Wheeler, Leland Fuller; Interior Decoration: Thomas Little"
Art Direction (Black and White),1944,nominated,No Time for Love ,"Art Direction: Hans Dreier, Robert Usher; Interior Decoration: Sam Comer"
Art Direction (Black and White),1944,nominated,Since You Went Away ,Art Direction: Mark-Lee Kirk; Interior Decoration: Victor A. Gangelin
Art Direction (Black and White),1944,nominated,Song of the Open Road,
Art Direction (Black and White),1944,nominated,Step Lively ,"Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Claude Carpenter"
Art Direction (Color),1944,nominated,The Climax ,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
Art Direction (Color),1944,nominated,Cover Girl ,"Art Direction: Lionel Banks, Cary Odell; Interior Decoration: Fay Babcock"
Art Direction (Color),1944,nominated,The Desert Song ,Art Direction: Charles Novi; Interior Decoration: Jack McConaghy
Art Direction (Color),1944,nominated,Kismet ,"Art Direction: Cedric Gibbons, Daniel B. Cathcart; Interior Decoration: Edwin B. Willis, Richard Pefferle"
Art Direction (Color),1944,nominated,Lady in the Dark ,"Art Direction: Hans Dreier, Raoul Pene du Bois; Interior Decoration: Ray Moyer"
Art Direction (Color),1944,nominated,The Princess and the Pirate ,Art Direction: Ernst Fegte; Interior Decoration: Howard Bristol
Art Direction (Color),1944,won,Wilson ,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little
Cinematography (Black and White),1944,nominated,Double Indemnity ,John Seitz
Cinematography (Black and White),1944,nominated,Dragon Seed ,Sidney Wagner
Cinematography (Black and White),1944,nominated,Gaslight ,Joseph Ruttenberg
Cinematography (Black and White),1944,nominated,Going My Way ,Lionel Lindon
Cinematography (Black and White),1944,won,Laura ,Joseph LaShelle
Cinematography (Black and White),1944,nominated,Lifeboat ,Glen MacWilliams
Cinematography (Black and White),1944,nominated,Since You Went Away ,"Stanley Cortez, Lee Garmes"
Cinematography (Black and White),1944,nominated,Thirty Seconds over Tokyo ,"Robert Surtees, Harold Rosson"
Cinematography (Black and White),1944,nominated,The Uninvited ,Charles Lang
Cinematography (Black and White),1944,nominated,The White Cliffs of Dover ,George Folsey
Cinematography (Color),1944,nominated,Cover Girl ,"Rudolph Maté, Allen M. Davey"
Cinematography (Color),1944,nominated,Home in Indiana ,Edward Cronjager
Cinematography (Color),1944,nominated,Kismet ,Charles Rosher
Cinematography (Color),1944,nominated,Lady in the Dark ,Ray Rennahan
Cinematography (Color),1944,nominated,Meet Me in St. Louis ,George Folsey
Cinematography (Color),1944,won,Wilson ,Leon Shamroy
Directing,1944,nominated,Double Indemnity ,Billy Wilder
Directing,1944,won,Going My Way ,Leo McCarey
Directing,1944,nominated,Laura ,Otto Preminger
Directing,1944,nominated,Lifeboat ,Alfred Hitchcock
Directing,1944,nominated,Wilson ,Henry King
Documentary (Feature),1944,won,The Fighting Lady ,United States Navy
Documentary (Feature),1944,nominated,Resisting Enemy Interrogation ,United States Army Air Force
Documentary (Short Subject),1944,nominated,Arturo Toscanini ,United States Office of War Information Overseas Motion Picture Bureau
Documentary (Short Subject),1944,nominated,New Americans ,RKO Radio
Documentary (Short Subject),1944,won,With the Marines at Tarawa ,United States Marine Corps
Film Editing,1944,nominated,Going My Way ,Leroy Stone
Film Editing,1944,nominated,Janie ,Owen Marks
Film Editing,1944,nominated,None but the Lonely Heart ,Roland Gross
Film Editing,1944,nominated,Since You Went Away ,"Hal C. Kern, James E. Newcom"
Film Editing,1944,won,Wilson ,Barbara McLean
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Address Unknown ,"Morris Stoloff, Ernst Toch"
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,The Adventures of Mark Twain ,Max Steiner
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,The Bridge of San Luis Rey ,Dimitri Tiomkin
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Casanova Brown ,Arthur Lange
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Christmas Holiday ,H. J. Salter
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Double Indemnity ,Miklos Rozsa
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,The Fighting Seabees ,"Walter Scharf, Roy Webb"
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,The Hairy Ape ,"Edward Paul, Michel Michelet"
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,It Happened Tomorrow ,Robert Stolz
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Jack London ,Frederic Efrem Rich
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Kismet ,Herbert Stothart
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,None but the Lonely Heart ,"Hanns Eisler, C. Bakaleinikoff"
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,The Princess and the Pirate ,David Rose
Music (Music Score of a Dramatic or Comedy Picture),1944,won,Since You Went Away ,Max Steiner
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Summer Storm ,Karl Hajos
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Three Russian Girls ,Franke Harling
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Up in Mabel's Room ,Edward Paul
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Voice in the Wind ,Michel Michelet
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Wilson ,Alfred Newman
Music (Music Score of a Dramatic or Comedy Picture),1944,nominated,Woman of the Town ,Miklos Rozsa
Music (Scoring of a Musical Picture),1944,nominated,Brazil ,Walter Scharf
Music (Scoring of a Musical Picture),1944,won,Cover Girl ,"Morris Stoloff, Carmen Dragon"
Music (Scoring of a Musical Picture),1944,nominated,Higher and Higher ,C. Bakaleinikoff
Music (Scoring of a Musical Picture),1944,nominated,Hollywood Canteen ,Ray Heindorf
Music (Scoring of a Musical Picture),1944,nominated,Irish Eyes Are Smiling ,Alfred Newman
Music (Scoring of a Musical Picture),1944,nominated,Knickerbocker Holiday ,"Werner R. Heymann, Kurt Weill"
Music (Scoring of a Musical Picture),1944,nominated,Lady in the Dark ,Robert Emmett Dolan
Music (Scoring of a Musical Picture),1944,nominated,"Lady, Let's Dance ",Edward Kay
Music (Scoring of a Musical Picture),1944,nominated,Meet Me in St. Louis ,Georgie Stoll
Music (Scoring of a Musical Picture),1944,nominated,The Merry Monahans ,H. J. Salter
Music (Scoring of a Musical Picture),1944,nominated,Minstrel Man ,"Ferde Grofe, Leo Erdody"
Music (Scoring of a Musical Picture),1944,nominated,Sensations of 1945 ,Mahlon Merrick
Music (Scoring of a Musical Picture),1944,nominated,Song of the Open Road ,Charles Previn
Music (Scoring of a Musical Picture),1944,nominated,Up in Arms ,"Ray Heindorf, Louis Forbes"
Music (Song),1944,nominated,"""I Couldn't Sleep A Wink Last Night"" from Higher and Higher",Music by Jimmy McHugh; Lyrics by Harold Adamson
Music (Song),1944,nominated,"""I'll Walk Alone"" from Follow the Boys",Music by Jule Styne; Lyrics by Sammy Cahn
Music (Song),1944,nominated,"""I'm Making Believe"" from Sweet and Lowdown",Music by James V. Monaco; Lyrics by Mack Gordon
Music (Song),1944,nominated,"""Long Ago And Far Away"" from Cover Girl",Music by Jerome Kern; Lyrics by Ira Gershwin
Music (Song),1944,nominated,"""Now I Know"" from Up in Arms",Music by Harold Arlen; Lyrics by Ted Koehler
Music (Song),1944,nominated,"""Remember Me To Carolina"" from Minstrel Man",Music by Harry Revel; Lyrics by Paul Webster
Music (Song),1944,nominated,"""Rio De Janeiro"" from Brazil",Music by Ary Barroso; Lyrics by Ned Washington
Music (Song),1944,nominated,"""Silver Shadows And Golden Dreams"" from Lady, Let's Dance",Music by Lew Pollack; Lyrics by Charles Newman
Music (Song),1944,nominated,"""Sweet Dreams Sweetheart"" from Hollywood Canteen",Music by M. K. Jerome; Lyrics by Ted Koehler
Music (Song),1944,won,"""Swinging On A Star"" from Going My Way",Music by James Van Heusen; Lyrics by Johnny Burke
Music (Song),1944,nominated,"""Too Much In Love"" from Song of the Open Road",Music by Walter Kent; Lyrics by Kim Gannon
Music (Song),1944,nominated,"""The Trolley Song"" from Meet Me in St. Louis",Music and Lyrics by Ralph Blane and Hugh Martin
Best Motion Picture,1944,nominated,Double Indemnity ,Paramount
Best Motion Picture,1944,nominated,Gaslight ,Metro-Goldwyn-Mayer
Best Motion Picture,1944,won,Going My Way ,Paramount
Best Motion Picture,1944,nominated,Since You Went Away ,Selznick International Pictures
Best Motion Picture,1944,nominated,Wilson ,20th Century-Fox
