Year,Award,Winning,Name,Film
2010,Directing,nominated,Black Swan ,Darren Aronofsky
2010,Directing,nominated,The Fighter ,David O. Russell
2010,Directing,won,The King's Speech ,Tom Hooper
2010,Directing,nominated,The Social Network ,David Fincher
2010,Directing,nominated,True Grit ,Joel Coen and Ethan Coen
2010,Documentary (Feature),nominated,Exit through the Gift Shop ,Banksy and Jaimie D'Cruz
2010,Documentary (Feature),nominated,Gasland ,Josh Fox and Trish Adlesic
2010,Documentary (Feature),won,Inside Job ,Charles Ferguson and Audrey Marrs
2010,Documentary (Feature),nominated,Restrepo ,Tim Hetherington and Sebastian Junger
2010,Documentary (Feature),nominated,Waste Land ,Lucy Walker and Angus Aynsley
2010,Documentary (Short Subject),nominated,Killing in the Name ,Jed Rothstein
2010,Documentary (Short Subject),nominated,Poster Girl ,Sara Nesson and Mitchell W. Block
2010,Documentary (Short Subject),won,Strangers No More ,Karen Goodman and Kirk Simon
2010,Documentary (Short Subject),nominated,Sun Come Up ,Jennifer Redfearn and Tim Metzger
2010,Documentary (Short Subject),nominated,The Warriors of Qiugang ,Ruby Yang and Thomas Lennon
2010,Film Editing,nominated,Black Swan ,Andrew Weisblum
2010,Film Editing,nominated,The Fighter ,Pamela Martin
2010,Film Editing,nominated,The King's Speech ,Tariq Anwar
2010,Film Editing,nominated,127 Hours ,Jon Harris
2010,Film Editing,won,The Social Network ,Angus Wall and Kirk Baxter
2010,Foreign Language Film,nominated,Biutiful ,Mexico
2010,Foreign Language Film,nominated,Dogtooth ,Greece
2010,Foreign Language Film,won,In a Better World ,Denmark
2010,Foreign Language Film,nominated,Incendies ,Canada
2010,Foreign Language Film,nominated,Outside the Law (Hors-la-loi) ,Algeria
2010,Makeup,nominated,Barney's Version ,Adrien Morot
2010,Makeup,nominated,The Way Back ,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng"
2010,Makeup,won,The Wolfman ,Rick Baker and Dave Elsey
2010,Music (Original Score),nominated,How to Train Your Dragon ,John Powell
2010,Music (Original Score),nominated,Inception ,Hans Zimmer
2010,Music (Original Score),nominated,The King's Speech ,Alexandre Desplat
2010,Music (Original Score),nominated,127 Hours ,A.R. Rahman
2010,Music (Original Score),won,The Social Network ,Trent Reznor and Atticus Ross
2010,Music (Original Song),nominated,"""Coming Home"" from Country Strong","Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey"
2010,Music (Original Song),nominated,"""I See The Light"" from Tangled",Music by Alan Menken; Lyric by Glenn Slater
2010,Music (Original Song),nominated,"""If I Rise"" from 127 Hours",Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong
2010,Music (Original Song),won,"""We Belong Together"" from Toy Story 3",Music and Lyric by Randy Newman
2010,Best Picture,nominated,Black Swan ,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers"
2010,Best Picture,nominated,The Fighter ,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers"
2010,Best Picture,nominated,Inception ,"Emma Thomas and Christopher Nolan, Producers"
2010,Best Picture,nominated,The Kids Are All Right ,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
2010,Best Picture,won,The King's Speech ,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
2010,Best Picture,nominated,127 Hours ,"Christian Colson, Danny Boyle and John Smithson, Producers"
2010,Best Picture,nominated,The Social Network ,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers"
2010,Best Picture,nominated,Toy Story 3 ,"Darla K. Anderson, Producer"
2010,Best Picture,nominated,True Grit ,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
2010,Best Picture,nominated,Winter's Bone ,"Anne Rosellini and Alix Madigan-Yorkin, Producers"
2010,Short Film (Animated),nominated,Day & Night ,Teddy Newton
2010,Short Film (Animated),nominated,The Gruffalo ,Jakob Schuh and Max Lang
2010,Short Film (Animated),nominated,Let's Pollute ,Geefwee Boedoe
2010,Short Film (Animated),won,The Lost Thing ,Shaun Tan and Andrew Ruhemann
2010,Short Film (Animated),nominated,"Madagascar, carnet de voyage (Madagascar, a Journey Diary) ",Bastien Dubois
2010,Short Film (Live Action),nominated,The Confession ,Tanel Toom
2010,Short Film (Live Action),nominated,The Crush ,Michael Creagh
2010,Short Film (Live Action),won,God of Love ,Luke Matheny
2010,Short Film (Live Action),nominated,Na Wewe ,Ivan Goldschmidt
2010,Short Film (Live Action),nominated,Wish 143 ,Ian Barnes and Samantha Waite
2010,Sound Editing,won,Inception ,Richard King
2010,Sound Editing,nominated,Toy Story 3 ,Tom Myers and Michael Silvers
2010,Sound Editing,nominated,Tron: Legacy ,Gwendolyn Yates Whittle and Addison Teague
2010,Sound Editing,nominated,True Grit ,Skip Lievsay and Craig Berkey
2010,Sound Editing,nominated,Unstoppable ,Mark P. Stoeckinger
2010,Sound Mixing,won,Inception ,"Lora Hirschberg, Gary A. Rizzo and Ed Novick"
2010,Sound Mixing,nominated,The King's Speech ,"Paul Hamblin, Martin Jensen and John Midgley"
2010,Sound Mixing,nominated,Salt ,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin"
2010,Sound Mixing,nominated,The Social Network ,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten"
2010,Sound Mixing,nominated,True Grit ,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland"
2010,Visual Effects,nominated,Alice in Wonderland ,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips"
2010,Visual Effects,nominated,Harry Potter and the Deathly Hallows Part 1 ,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi"
2010,Visual Effects,nominated,Hereafter ,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell"
2010,Visual Effects,won,Inception ,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"
2010,Visual Effects,nominated,Iron Man 2 ,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick"
2010,Writing (Adapted Screenplay),nominated,127 Hours ,Screenplay by Danny Boyle & Simon Beaufoy
2010,Writing (Adapted Screenplay),won,The Social Network ,Screenplay by Aaron Sorkin
2010,Writing (Adapted Screenplay),nominated,Toy Story 3 ,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich"
2010,Writing (Adapted Screenplay),nominated,True Grit ,Written for the screen by Joel Coen & Ethan Coen
2010,Writing (Adapted Screenplay),nominated,Winter's Bone ,Adapted for the screen by Debra Granik & Anne Rosellini
2010,Writing (Original Screenplay),nominated,Another Year ,Written by Mike Leigh
2010,Writing (Original Screenplay),nominated,The Fighter ,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson
2010,Writing (Original Screenplay),nominated,Inception ,Written by Christopher Nolan
2010,Writing (Original Screenplay),nominated,The Kids Are All Right ,Written by Lisa Cholodenko & Stuart Blumberg
2010,Writing (Original Screenplay),won,The King's Speech ,Screenplay by David Seidler
2010,Honorary Award,won,Kevin Brownlow,
2010,Honorary Award,won,Jean-Luc Godard,
2010,Honorary Award,won,Eli Wallach,
2010,Irving G. Thalberg Memorial Award,won,Francis Ford Coppola,
2010,John A. Bonner Medal of Commendation,won,Denny Clairmont,
2011,Actor in a Leading Role,nominated,Demián Bichir,A Better Life
2011,Actor in a Leading Role,nominated,George Clooney,The Descendants
2011,Actor in a Leading Role,won,Jean Dujardin,The Artist
2011,Actor in a Leading Role,nominated,Gary Oldman,Tinker Tailor Soldier Spy
2011,Actor in a Leading Role,nominated,Brad Pitt,Moneyball
2011,Actor in a Supporting Role,nominated,Kenneth Branagh,My Week with Marilyn
2011,Actor in a Supporting Role,nominated,Jonah Hill,Moneyball
2011,Actor in a Supporting Role,nominated,Nick Nolte,Warrior
2011,Actor in a Supporting Role,won,Christopher Plummer,Beginners
2011,Actor in a Supporting Role,nominated,Max von Sydow,Extremely Loud & Incredibly Close
2011,Actress in a Leading Role,nominated,Glenn Close,Albert Nobbs
2011,Actress in a Leading Role,nominated,Viola Davis,The Help
2011,Actress in a Leading Role,nominated,Rooney Mara,The Girl with the Dragon Tattoo
2011,Actress in a Leading Role,won,Meryl Streep,The Iron Lady
2011,Actress in a Leading Role,nominated,Michelle Williams,My Week with Marilyn
2011,Actress in a Supporting Role,nominated,Bérénice Bejo,The Artist
2011,Actress in a Supporting Role,nominated,Jessica Chastain,The Help
2011,Actress in a Supporting Role,nominated,Melissa McCarthy,Bridesmaids
2011,Actress in a Supporting Role,nominated,Janet McTeer,Albert Nobbs
2011,Actress in a Supporting Role,won,Octavia Spencer,The Help
2011,Animated Feature Film,nominated,A Cat in Paris ,Alain Gagnol and Jean-Loup Felicioli
2011,Animated Feature Film,nominated,Chico & Rita ,Fernando Trueba and Javier Mariscal
2011,Animated Feature Film,nominated,Kung Fu Panda 2 ,Jennifer Yuh Nelson
2011,Animated Feature Film,nominated,Puss in Boots ,Chris Miller
2011,Animated Feature Film,won,Rango ,Gore Verbinski
2011,Art Direction,nominated,The Artist ,Production Design: Laurence Bennett; Set Decoration: Robert Gould
2011,Art Direction,nominated,Harry Potter and the Deathly Hallows Part 2 ,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan
2011,Art Direction,won,Hugo ,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
2011,Art Direction,nominated,Midnight in Paris ,Production Design: Anne Seibel; Set Decoration: Hélène Dubreuil
2011,Art Direction,nominated,War Horse ,Production Design: Rick Carter; Set Decoration: Lee Sandales
2011,Cinematography,nominated,The Artist ,Guillaume Schiffman
2011,Cinematography,nominated,The Girl with the Dragon Tattoo ,Jeff Cronenweth
2011,Cinematography,won,Hugo ,Robert Richardson
2011,Cinematography,nominated,The Tree of Life ,Emmanuel Lubezki
2011,Cinematography,nominated,War Horse ,Janusz Kaminski
2011,Costume Design,nominated,Anonymous ,Lisy Christl
2011,Costume Design,won,The Artist ,Mark Bridges
2011,Costume Design,nominated,Hugo ,Sandy Powell
2011,Costume Design,nominated,Jane Eyre ,Michael O'Connor
2011,Costume Design,nominated,W.E. ,Arianne Phillips
2011,Directing,won,The Artist ,Michel Hazanavicius
2011,Directing,nominated,The Descendants ,Alexander Payne
2011,Directing,nominated,Hugo ,Martin Scorsese
2011,Directing,nominated,Midnight in Paris ,Woody Allen
2011,Directing,nominated,The Tree of Life ,Terrence Malick
2011,Documentary (Feature),nominated,Hell and Back Again ,Danfung Dennis and Mike Lerner
2011,Documentary (Feature),nominated,If a Tree Falls: A Story of the Earth Liberation Front ,Marshall Curry and Sam Cullman
2011,Documentary (Feature),nominated,Paradise Lost 3: Purgatory ,Joe Berlinger and Bruce Sinofsky
2011,Documentary (Feature),nominated,Pina ,Wim Wenders and Gian-Piero Ringel
2011,Documentary (Feature),won,Undefeated ,"TJ Martin, Dan Lindsay and Rich Middlemas"
2011,Documentary (Short Subject),nominated,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement ,Robin Fryday and Gail Dolgin
2011,Documentary (Short Subject),nominated,God Is the Bigger Elvis ,Rebecca Cammisa and Julie Anderson
2011,Documentary (Short Subject),nominated,Incident in New Baghdad ,James Spione
2011,Documentary (Short Subject),won,Saving Face ,Daniel Junge and Sharmeen Obaid-Chinoy
2011,Documentary (Short Subject),nominated,The Tsunami and the Cherry Blossom ,Lucy Walker and Kira Carstensen
2011,Film Editing,nominated,The Artist ,Anne-Sophie Bion and Michel Hazanavicius
2011,Film Editing,nominated,The Descendants ,Kevin Tent
2011,Film Editing,won,The Girl with the Dragon Tattoo ,Kirk Baxter and Angus Wall
2011,Film Editing,nominated,Hugo ,Thelma Schoonmaker
2011,Film Editing,nominated,Moneyball ,Christopher Tellefsen
2011,Foreign Language Film,nominated,Bullhead ,Belgium
2011,Foreign Language Film,nominated,Footnote ,Israel
2011,Foreign Language Film,nominated,In Darkness ,Poland
2011,Foreign Language Film,nominated,Monsieur Lazhar ,Canada
2011,Foreign Language Film,won,A Separation ,Iran
2011,Makeup,nominated,Albert Nobbs ,"Martial Corneville, Lynn Johnston and Matthew W. Mungle"
2011,Makeup,nominated,Harry Potter and the Deathly Hallows Part 2 ,"Nick Dudman, Amanda Knight and Lisa Tomblin"
2011,Makeup,won,The Iron Lady ,Mark Coulier and J. Roy Helland
2011,Music (Original Score),nominated,The Adventures of Tintin ,John Williams
2011,Music (Original Score),won,The Artist ,Ludovic Bource
2011,Music (Original Score),nominated,Hugo ,Howard Shore
2011,Music (Original Score),nominated,Tinker Tailor Soldier Spy ,Alberto Iglesias
2011,Music (Original Score),nominated,War Horse ,John Williams
2011,Music (Original Song),won,"""Man Or Muppet"" from The Muppets",Music and Lyric by Bret McKenzie
2011,Music (Original Song),nominated,"""Real In Rio"" from Rio",Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett
2011,Best Picture,won,The Artist ,"Thomas Langmann, Producer"
2011,Best Picture,nominated,The Descendants ,"Jim Burke, Alexander Payne and Jim Taylor, Producers"
2011,Best Picture,nominated,Extremely Loud & Incredibly Close ,"Scott Rudin, Producer"
2011,Best Picture,nominated,The Help ,"Brunson Green, Chris Columbus and Michael Barnathan, Producers"
2011,Best Picture,nominated,Hugo ,"Graham King and Martin Scorsese, Producers"
2011,Best Picture,nominated,Midnight in Paris ,"Letty Aronson and Stephen Tenenbaum, Producers"
2011,Best Picture,nominated,Moneyball ,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers"
2011,Best Picture,nominated,The Tree of Life ,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers"
2011,Best Picture,nominated,War Horse ,"Steven Spielberg and Kathleen Kennedy, Producers"
2011,Short Film (Animated),nominated,Dimanche/Sunday ,Patrick Doyon
2011,Short Film (Animated),won,The Fantastic Flying Books of Mr. Morris Lessmore ,William Joyce and Brandon Oldenburg
2011,Short Film (Animated),nominated,La Luna ,Enrico Casarosa
2011,Short Film (Animated),nominated,A Morning Stroll ,Grant Orchard and Sue Goffe
2011,Short Film (Animated),nominated,Wild Life ,Amanda Forbis and Wendy Tilby
2011,Short Film (Live Action),nominated,Pentecost ,Peter McDonald and Eimear O'Kane
2011,Short Film (Live Action),nominated,Raju ,Max Zähle and Stefan Gieren
2011,Short Film (Live Action),won,The Shore ,Terry George and Oorlagh George
2011,Short Film (Live Action),nominated,Time Freak ,Andrew Bowler and Gigi Causey
2011,Short Film (Live Action),nominated,Tuba Atlantic ,Hallvar Witzø
2011,Sound Editing,nominated,Drive ,Lon Bender and Victor Ray Ennis
2011,Sound Editing,nominated,The Girl with the Dragon Tattoo ,Ren Klyce
2011,Sound Editing,won,Hugo ,Philip Stockton and Eugene Gearty
2011,Sound Editing,nominated,Transformers: Dark of the Moon ,Ethan Van der Ryn and Erik Aadahl
2011,Sound Editing,nominated,War Horse ,Richard Hymns and Gary Rydstrom
2011,Sound Mixing,nominated,The Girl with the Dragon Tattoo ,"David Parker, Michael Semanick, Ren Klyce and Bo Persson"
2011,Sound Mixing,won,Hugo ,Tom Fleischman and John Midgley
2011,Sound Mixing,nominated,Moneyball ,"Deb Adair, Ron Bochar, David Giammarco and Ed Novick"
2011,Sound Mixing,nominated,Transformers: Dark of the Moon ,"Greg P. Russell, Gary Summers, Jeffrey J. Haboush and Peter J. Devlin"
2011,Sound Mixing,nominated,War Horse ,"Gary Rydstrom, Andy Nelson, Tom Johnson and Stuart Wilson"
2011,Visual Effects,nominated,Harry Potter and the Deathly Hallows Part 2 ,"Tim Burke, David Vickery, Greg Butler and John Richardson"
2011,Visual Effects,won,Hugo ,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning"
2011,Visual Effects,nominated,Real Steel ,"Erik Nash, John Rosengrant, Dan Taylor and Swen Gillberg"
2011,Visual Effects,nominated,Rise of the Planet of the Apes ,"Joe Letteri, Dan Lemmon, R. Christopher White and Daniel Barrett"
2011,Visual Effects,nominated,Transformers: Dark of the Moon ,"Scott Farrar, Scott Benza, Matthew Butler and John Frazier"
2011,Writing (Adapted Screenplay),won,The Descendants ,Screenplay by Alexander Payne and Nat Faxon & Jim Rash
2011,Writing (Adapted Screenplay),nominated,Hugo ,Screenplay by John Logan
2011,Writing (Adapted Screenplay),nominated,The Ides of March ,Screenplay by George Clooney & Grant Heslov and Beau Willimon
2011,Writing (Adapted Screenplay),nominated,Moneyball ,Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin
2011,Writing (Adapted Screenplay),nominated,Tinker Tailor Soldier Spy ,Screenplay by Bridget O'Connor & Peter Straughan
2011,Writing (Original Screenplay),nominated,The Artist ,Written by Michel Hazanavicius
2011,Writing (Original Screenplay),nominated,Bridesmaids ,Written by Annie Mumolo & Kristen Wiig
2011,Writing (Original Screenplay),nominated,Margin Call ,Written by J.C. Chandor
2011,Writing (Original Screenplay),won,Midnight in Paris ,Written by Woody Allen
2011,Writing (Original Screenplay),nominated,A Separation ,Written by Asghar Farhadi
2011,Jean Hersholt Humanitarian Award,won,Oprah Winfrey,
2011,Honorary Award,won,James Earl Jones.,
2011,Honorary Award,won,Dick Smith,
2011,Gordon E. Sawyer Award,won,Douglas Trumbull,
